station_name,gage_id,lat,lon,upstream_gage_mainline,upstream_gage_trib,upstream_gage
"Hickory Branch near Mendon, MO",06902995,39.58252426,-93.1332572,,,
"Hinkson Creek at Columbia, MO",06910230,38.92775,-92.3399444,,,
"Howe Creek below Walker Draw near Center, Nebr.",06466470,42.673475,-97.85395833,,,
Hurd Hollow Trib at FLW(Outfall 16),06928359,37.70194444,-92.225,,,
Hyalite C at Hyalite R S nr Bozeman MT,06050000,45.56332778,-111.0718889,,,
ICY BROOK-LOCH VALE-RMNP,401707105395000,40.28666667,-105.6641667,,,
"INDIAN C AT 119TH ST, OVERLAND PARK, KS",385446094430700,38.91277778,-94.7186111,,,
"INDIAN C AT COLLEGE BLVD, JOHNSON CO, KS",385520094420000,38.9272222,-94.6969444,385446094430700,385446094430700,385446094430700
"INDIAN C AT INDIAN C PKWY, OVERLAND PARK, KS",385608094380300,38.93555556,-94.6341667,385520094420000,385520094420000,385520094420000
"INDIAN C AT OVERLAND PARK, KS",06893300,38.9405621,-94.6713469,385520094420000,385520094420000,385520094420000
"INDIAN C AT STATE LINE RD, LEAWOOD, KS",06893390,38.9383333,-94.6077778,385520094420000,385520094420000,385520094420000
"INLET CANAL ABOVE BELLE FOURCHE RESERVOIR,SD",06434505,44.70092898,-103.7327817,,,
"Indian Creek at 103rd St in Kansas City, MO",06893400,38.9419722,-94.6045,,385520094420000,385520094420000
"Interstate Canal at Lateral No 14, nr Morrill, NE",420141103523001,42.0290833,-103.8801111,,,
"Interstate Canal at Lateral No 8, nr Henry, NE",420449103593501,42.08027778,-103.9930556,,,
"Interstate Canal near Mintle, Nebr.",415922103404801,41.98944444,-103.68,,,
"Interstate Canal near Rattlesnake Hill, Nebr.",420327103464301,42.0575,-103.7786111,,,
"JACK CREEK ABOVE COYOTE DRAW, NEAR SARATOGA, WY",06627800,41.43912649,-106.9717146,,,
"JAMES RIVER ABOVE ARROWWOOD LAKE NR KENSAL, ND",06468250,47.3997189,-98.7976057,06468000,06468000,06468000
"JAMES RIVER AT ASHTON,SD",06473000,44.99830768,-98.480927,,06471000,06471000
"JAMES RIVER AT COLUMBIA,SD",06471000,45.6035795,-98.3103756,06470500,06470800,06470500
"JAMES RIVER AT HURON,SD",06476000,44.36359475,-98.199257,06471000,06471000,06471000
"JAMES RIVER AT JAMESTOWN, ND",06470000,46.8897222,-98.6816667,06468250,06468250,06468250
"JAMES RIVER AT LAMOURE, ND",06470500,46.35552489,-98.3045433,06468250,06468250,06468250
JAMES RIVER AT ND-SD STATE LINE,06470878,45.9363579,-98.1742692,,06470800,06470800
"JAMES RIVER AT NEW ROCKFORD, ND",06468000,47.68472059,-99.1253949,06467600,06467600,06467600
"JAMES RIVER NEAR FORESTBURG,SD",06477000,43.9738721,-98.070916,06471000,06471000,06471000
"JAMES RIVER NEAR MITCHELL,SD",06478000,43.65887165,-97.9192403,06471000,06471000,06471000
"JAMES RIVER NEAR REDFIELD,SD",06475000,44.91053097,-98.4720386,06471000,06471000,06471000
"JAMES RIVER NEAR SCOTLAND,SD",06478500,43.1858255,-97.635622,06471000,06471000,06471000
"JAMES RIVER NEAR STRATFORD,SD",06472000,45.24163936,-98.3914819,06471000,06471000,06471000
"JAMES RIVER NEAR YANKTON, SD",06478513,42.9958297,-97.3697806,06471000,06471000,06471000
"JAMES RIVER NR GRACE CITY, ND",06468170,47.5580525,-98.862885,06468000,06468000,06468000
"JAMES RIVER NR MANFRED, ND",06467600,47.64605556,-99.8295278,,,
"JAMES RIVER ON STATE HIGHWAY 46 NEAR ADRIAN, ND",06470425,46.6291309,-98.5723572,,06468250,06468250
"JOE WRIGHT CREEK ABOVE JOE WRIGHT RESERVOIR, CO",06746095,40.5399822,-105.88279,,,
"JOE WRIGHT CREEK BELOW JOE WRIGHT RESERVOIR, CO",06746110,40.5619264,-105.8639,06746095,06746095,06746095
"JOHNSTOWN DITCH AT HEADWORKS, NEAR KINNEAR, WY",06227596,43.15051377,-108.7287295,,06222510,06222510
"Jefferson River at Parsons Bdg nr Silver Star, MT",06027600,45.74750278,-112.1872278,06026500,06023800,06026500
Jefferson River near Three Forks MT,06036650,45.8971361,-111.5956722,06027600,06027600,06027600
Jefferson River near Twin Bridges MT,06026500,45.6132833,-112.3293972,06018500,06023800,06018500
"Johnson Creek near Memphis, Nebr.",06804900,41.14638889,-96.3869444,,,
Judith River above Carr Creek near Utica MT,06110020,46.9177222,-110.1889444,,,
"Judith River nr mouth, nr Winifred MT",06114700,47.6651583,-109.6520139,,06110020,06110020
"KANSAS R AB TOPEKA WEIR AT TOPEKA, KS",06888990,39.07194435,-95.7163715,06863000,06824000,06863000
"KANSAS R AT DESOTO, KS",06892350,38.9833375,-94.9646893,,06824000,06824000
"KANSAS R AT FORT RILEY, KS",06879100,39.06166457,-96.7663963,06863000,06824000,06863000
"KANSAS R AT LAWRENCE, KS",06891080,38.97327778,-95.2321111,06863000,06824000,06863000
"KANSAS R AT LECOMPTON, KS",06891000,39.05111157,-95.3863633,,,
"KANSAS R AT TOPEKA, KS",06889000,39.0666666,-95.6497028,06863000,06824000,06863000
"KANSAS R AT WAMEGO, KS",06887500,39.19833014,-96.3055532,,,
